popularity,title,artist,year,decade,original_vocal,categories,social_singing,version,vibe_tag,theme_tag,theme_labels,songID
1,I Won't Be the One to Let Go (radio version),Barbra Streisand & Barry Manilow,2003,2000s,Mixed,"Pop, Adult Contemporary, Soft Rock, Jazz, Disco",,,,,,I Won't Be the One to Let Go (radio version)Barbra Streisand & Barry Manilow
1,Icky Thump,The White Stripes,2007,2000s,Male,"Rock, Alternative Rock, Indie Rock, Garage Rock",,,,,,Icky ThumpThe White Stripes
1,I'd Die Without You,PM Dawn,1992,90s,,Hip-Hop,,Remix,,,,I'd Die Without YouPM Dawn
1,I'd Love to Be Your Last,Gretchen Wilson,2010,2010s,Female,Country,,,,,,I'd Love to Be Your LastGretchen Wilson
1,I'd Rather Be Burned as a Witch,Eartha Kitt,1959,50s,Female,,,,,,,I'd Rather Be Burned as a WitchEartha Kitt
1,Idgaf,Dua Lipa,2017,2010s,Female,"Pop, Dance-Pop, Synth-Pop",,,Breakup Anthem,,,IdgafDua Lipa
1,If,Bread,1971,70s,Male,"Pop, Soft Rock, Classic Rock",,,,,,IfBread
1,If Everyone Cared,Nickelback,2005,2000s,Male,"Rock, Hard Rock, Alternative Rock, Heavy Metal, Alternative Metal",,,,,,If Everyone CaredNickelback
1,If Heaven Was Needing a Hero,Jo Dee Messina,2005,2000s,Female,"Country, Contemporary Country, Country Pop",,,,,,If Heaven Was Needing a HeroJo Dee Messina
1,If I Can't Have You,Yvonne Elliman,1977,70s,Female,"Pop, Disco, Rock, Dance",,,,,,If I Can't Have YouYvonne Elliman
1,If I Didn't Love You,Steve Wariner,1993,90s,Male,Country,,,,,,If I Didn't Love YouSteve Wariner
1,If I Lose Myself,OneRepublic,2013,2010s,Male,"Pop, Pop Rock, Folk Pop",,,,,,If I Lose MyselfOneRepublic
1,If I Only Had a Brain,Ray Bolger,1939,1930s,Male,Soundtrack,,Wizard of Oz,,,,If I Only Had a BrainRay Bolger
